no,linkedin URL
1,https://id.linkedin.com/jobs/view/backend-developer-internship-at-pt-sigma-cipta-caraka-telkomsigma-4240869065?position=1&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=F2QTXGPkQmaEVHF4G84pwA%3D%3D
2,https://id.linkedin.com/jobs/view/frontend-web-developer-internship-at-pt-sigma-cipta-caraka-telkomsigma-4240861741?position=2&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=KcOctYph5A3tVs0TLHfzSA%3D%3D
3,https://id.linkedin.com/jobs/view/web-developer-internship-at-kalbe-nutritionals-pt-sanghiang-perkasa-4236809213?position=3&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=Hr9Z%2BdsZYx8htI2%2B25Ac3g%3D%3D
4,https://id.linkedin.com/jobs/view/backend-engineer-junior-or-senior-consultant-at-ey-4074573079?position=4&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=da645oRwJcVkw1ajx907iQ%3D%3D
5,https://id.linkedin.com/jobs/view/retail-management-trainee-at-pt-lion-super-indo-4202910459?position=5&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=7n368DcCHFXXxvvkteAvlQ%3D%3D
6,https://id.linkedin.com/jobs/view/back-end-developer-at-maybank-4235085923?position=6&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=cYFDLtDlUexN29f4l36vzg%3D%3D
7,https://id.linkedin.com/jobs/view/software-engineer-intern-backend-at-tiket-com-4229837984?position=7&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=dnfUT5bUyc1xzlhRDEygqQ%3D%3D
8,https://id.linkedin.com/jobs/view/back-end-developer-at-lg-sinar-mas-4231646750?position=8&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=mIQeCBc2lhYc4waYXZ4e%2FQ%3D%3D
9,https://id.linkedin.com/jobs/view/back-end-developer-at-pt-inosoft-trans-sistem-4239578727?position=9&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=Q1CIRmowjx7YunEGu%2FIoTw%3D%3D
10,https://id.linkedin.com/jobs/view/api-developer-junior-consultant-at-ey-4049542201?position=10&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=uhFM0wODsaYeXwmZr%2BpeQg%3D%3D
11,https://id.linkedin.com/jobs/view/hiring-for-it-development-web-at-pt-garuda-mart-indonesia-4110534301?position=11&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=TJrIC3krk8WAXkoP%2FF9mDw%3D%3D
12,https://id.linkedin.com/jobs/view/full-stack-engineer-yogyakarta-at-pt-sigma-cipta-caraka-telkomsigma-4232291944?position=12&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=vjBY0JE4rGaJqdYEjAQv3g%3D%3D
13,https://id.linkedin.com/jobs/view/executive-logistics-at-puma-group-4230956305?position=13&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=EewjBNlfkjXewhe4E97adA%3D%3D
14,https://id.linkedin.com/jobs/view/software-engineer-i-backend-affiliate-at-tiket-com-4239374456?position=14&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=DP6fyLtX6bfdpB3VGnZ3hQ%3D%3D
15,https://id.linkedin.com/jobs/view/junior-back-end-engineer-at-roketin-pt-roketin-kreatif-teknologi-4231863358?position=15&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=G0RCu4Qkb9N%2BiV2yP5cAJQ%3D%3D
16,https://id.linkedin.com/jobs/view/software-development-engineer-backend-at-dana-indonesia-4235852999?position=16&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=cltyOcNXgMeytcedX%2BkWkw%3D%3D
17,https://id.linkedin.com/jobs/view/frontend-developer-at-lg-sinar-mas-4235097130?position=17&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=oTSUcwks6akcugc28OX%2FHA%3D%3D
18,https://id.linkedin.com/jobs/view/web-developer-at-pt-bank-digital-bca-bca-digital-4236806286?position=18&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=gDPPkPuespyvLt%2BNPCwPuQ%3D%3D
19,https://id.linkedin.com/jobs/view/front-end-developer-web-at-sagara-technology-3765737223?position=19&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=%2Fiq6OLaUQ%2FDc3nDj9kMy8g%3D%3D
20,https://id.linkedin.com/jobs/view/back-end-developer-at-pt-bank-digital-bca-bca-digital-4236803401?position=20&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=c4s%2FUL3Xhfy2Bh5q%2FISzHA%3D%3D
21,https://id.linkedin.com/jobs/view/web-developer-at-pt-astra-international-tbk-4158977188?position=21&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=1tLsVa5wyCS2CfrXwrqUdQ%3D%3D
22,https://id.linkedin.com/jobs/view/backend-developer-nodejs-at-pt-astra-international-tbk-4118013002?position=22&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=dY1hxiV65pUN%2F7xtipcdtw%3D%3D
23,https://id.linkedin.com/jobs/view/software-backend-engineer-at-traveloka-4012476638?position=23&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=rDGmch6Qr1KXMW8KS3eUmQ%3D%3D
24,https://id.linkedin.com/jobs/view/back-end-engineer-credit-sea-labs-at-shopee-4006414041?position=24&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=UyTDDK7I6a2mFnF9kWRYOQ%3D%3D
25,https://id.linkedin.com/jobs/view/software-engineer-backend-financial-services-at-flip-4227919140?position=25&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=y%2BPkhFOddLZzSSoiBlaIfw%3D%3D
26,https://id.linkedin.com/jobs/view/back-end-engineer-amar-bank-business-at-amar-bank-4010710259?position=26&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=sW2LFipjHAZBpYy45pf9ZA%3D%3D
27,https://id.linkedin.com/jobs/view/junior-software-developer-at-pt-4238558133?position=27&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=0x09V04KYsyuQ0qlgWk%2FTA%3D%3D
28,https://id.linkedin.com/jobs/view/junior-software-engineer-fullstack-at-onlinepajak-4236282025?position=28&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=ObmMvK68ULjb%2BF0dxVCElw%3D%3D
29,https://id.linkedin.com/jobs/view/software-engineer-i-backend-accommodation-at-tiket-com-4206297312?position=29&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=wFKBmc%2Bb%2B8grbIWH8WK9Wg%3D%3D
30,https://id.linkedin.com/jobs/view/customer-finance-executive-tasikmalaya-at-wings-group-indonesia-sayap-mas-utama-4236803531?position=30&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=2VFxP8EIBt9qzUxkTRSjlg%3D%3D
31,https://id.linkedin.com/jobs/view/software-engineer-campus-hiring-at-traveloka-4206536360?position=31&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=sAshxwCS0PHbDpSRimst8A%3D%3D
32,https://id.linkedin.com/jobs/view/web-developer-at-pt-pratama-abadi-industri-4240230714?position=32&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=fW3zoFpJqzD09Pa06UPvZw%3D%3D
33,https://id.linkedin.com/jobs/view/front-end-developer-at-bitcorp-pt-bringin-inti-teknologi-4236809036?position=33&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=9Ii7VMydk%2BUoIHfj8zBVUA%3D%3D
34,https://id.linkedin.com/jobs/view/junior-full-stack-developer-at-b2b-soft-4130876196?position=34&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=F9Oun99VCyx0nRw3KqRuwQ%3D%3D
35,https://id.linkedin.com/jobs/view/application-software-developer-at-pt-sinergy-informasi-pratama-4230011894?position=35&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=xJItO2675jPSsFicaOCBQA%3D%3D
36,https://id.linkedin.com/jobs/view/software-engineer-backend-digital-products-at-flip-4180623888?position=36&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=lo0%2FozTzBYyoG%2FfD%2FBd4KQ%3D%3D
37,https://id.linkedin.com/jobs/view/back-end-developer-at-bitcorp-pt-bringin-inti-teknologi-4236803465?position=37&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=KqWsLAlMCvURvtrncGOLug%3D%3D
38,https://id.linkedin.com/jobs/view/back-end-developer-at-pt-soluix-finteknologi-indonesia-4116495177?position=38&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=lQDQSo1arpjgC%2B1cVnsUGA%3D%3D
39,https://id.linkedin.com/jobs/view/backend-developer-at-madeindonesia-4232990283?position=39&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=PJEDKQu3ut8bWbA8EvtHcA%3D%3D
40,https://id.linkedin.com/jobs/view/petugas-it-sumedang-at-pt-sumberdaya-dian-mandiri-4235929267?position=40&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=TRv3Rg6I0ggsbNSvI5md3g%3D%3D
41,https://id.linkedin.com/jobs/view/back-end-developer-at-pt-daya-cipta-mandiri-solusi-3770227353?position=41&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=aJRNWAx%2FKEOqpwIQDqJH6g%3D%3D
42,https://id.linkedin.com/jobs/view/backend-developer-at-jogjacamp-4226350205?position=42&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=CMbaSND6%2FJcCoLdHLpwbHw%3D%3D
43,https://id.linkedin.com/jobs/view/product-development-staff-at-kalbe-consumer-health-4225141437?position=43&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=KACX3l9E7AZqBMNsl3G9nw%3D%3D
44,https://id.linkedin.com/jobs/view/back-end-engineer-tunaiku-at-amar-bank-3988138060?position=44&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=Wr6v8R%2BIkoTufAzJyTSz9g%3D%3D
45,https://id.linkedin.com/jobs/view/mobile-developer-%2B-ui-ux-designer-internship-at-pt-sigma-cipta-caraka-telkomsigma-4240864581?position=45&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=aLjIqncAF3qhCIFfdMbizQ%3D%3D
46,https://id.linkedin.com/jobs/view/back-end-engineer-shopeepay-sea-labs-at-shopee-4121678180?position=46&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=LlwgeORZGYqK5pXQuu4F%2BQ%3D%3D
47,https://id.linkedin.com/jobs/view/python-developer-at-mandiri-daya-utama-nusantara-4205763624?position=47&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=OU3o1Edi9uHoTG1si69kaQ%3D%3D
48,https://id.linkedin.com/jobs/view/data-engineer-data-warehouse-business-intelligence-at-shopee-3611205740?position=48&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=vBLgkCJXHtD5cU3Q7RbPig%3D%3D
49,https://id.linkedin.com/jobs/view/back-end-engineer-credit-sea-labs-at-sea-3984651167?position=49&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=pcOuvDicIHhC5hS%2FeVWsTw%3D%3D
50,https://id.linkedin.com/jobs/view/data-engineer-at-pt-prodia-widyahusada-tbk-4229322177?position=50&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=7R0Oo%2BftVCjrr3oOEjruGA%3D%3D
51,https://id.linkedin.com/jobs/view/back-end-engineer-at-roketin-pt-roketin-kreatif-teknologi-4131599351?position=51&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=T5n0czVl3DdYMDjhCX%2BNBA%3D%3D
52,https://id.linkedin.com/jobs/view/backend-engineer-at-samsung-southeast-asia-oceania-4125300531?position=52&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=pJd6eYD4uWljIbbraP%2BcLQ%3D%3D
53,https://id.linkedin.com/jobs/view/programmer-backend-python-at-indonesia-4237946929?position=53&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=bwJKmyz%2B4CuOx%2FZPaMsGXw%3D%3D
54,https://id.linkedin.com/jobs/view/back-end-developer-android-at-sagara-technology-3765732695?position=54&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=TSLKvuatMokrqEaFZ1GBhA%3D%3D
55,https://id.linkedin.com/jobs/view/frontend-developer-react-js-at-padepokan-tujuh-sembilan-4236804462?position=55&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=%2Bg0K8t%2FgyqhlcHkje0m%2FQg%3D%3D
56,https://id.linkedin.com/jobs/view/python-entry-level-at-accenture-southeast-asia-4212695732?position=56&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=STRSsPMRjjkc9tb9W75X5Q%3D%3D
57,https://id.linkedin.com/jobs/view/data-science-intern-at-tiket-com-4206297320?position=57&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=OcpFUIkWypdsrbdueCOE0w%3D%3D
58,https://id.linkedin.com/jobs/view/backend-engineer-at-pt-inovasi-anak-indonesia-parkee-4236810081?position=58&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=Tn8XcfbUVAxkEuC%2FakPNwg%3D%3D
59,https://id.linkedin.com/jobs/view/backend-engineer-at-swiftmind-indonesia-4236807346?position=59&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=%2B%2BVzyDzg5na%2B%2BXidhYyb7w%3D%3D
60,https://id.linkedin.com/jobs/view/data-engineer-consultant-junior-senior-1-at-ey-4193413411?position=60&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=3nPxXFIi%2FA9kQgxFz4OGFA%3D%3D
